字段1,字段2,字段3
"600477,600477,600477,600477,600477,600477,600477,600477",,"杭萧钢构,杭萧钢构,杭萧钢构,杭萧钢构,杭萧钢构,杭萧钢构,杭萧钢构,杭萧钢构"
300263,更多膜材料 ;河南自贸区 ;污水处理 ;新材料概念 ;靶材 ;OLED材料 ;PPP概念 ;军工 ;年报预增 ;OLED ;柔性屏 ;华为概念,隆华科技
"300263,300263,300263,300263,300263,300263,300263",,"隆华科技,隆华科技,隆华科技,隆华科技,隆华科技,隆华科技,隆华科技"
002327,婚庆 ;大消费 ;移动购物 ;深股通,富安娜
"002327,002327,002327,002327",,"富安娜,富安娜,富安娜,富安娜"
002040,更多一带一路 ;黄金水道 ;航运港口 ;长江经济带 ;南京国资改革 ;江苏国资改革 ;地方国资改革,南京港
"002040,002040,002040",,"南京港,南京港,南京港"
002906,更多节能照明 ;智能汽车 ;百度概念 ;深股通 ;汽车电子 ;无人驾驶 ;宁德时代概念,华阳集团
"002906,002906",,"华阳集团,华阳集团"
002016,更多广东自贸区 ;土地增值 ;珠海主题公园 ;土地流转 ;横琴新区 ;融资融券 ;深股通 ;转融券标的 ;白马股 ;粤港澳大湾区,世荣兆业
"002016,002016",,"世荣兆业,世荣兆业"
600160,更多埃博拉概念 ;低碳 ;互联网平台 ;磷化工 ;人工降雨 ;类稀土 ;三氯甲烷 ;碳交易 ;融资融券 ;转融券标的 ;氟化工 ;萤石 ;浙江国资改革 ;地方国资改革 ;制冷剂 ;沪股通 ;年报预增 ;MSCI预期,巨化股份
"600160,600160,600160,600160,600160,600160",,"巨化股份,巨化股份,巨化股份,巨化股份,巨化股份,巨化股份"
002949,新股与次新股 ;装配式建筑,华阳国际
"002949,002949",,"华阳国际,华阳国际"
000034,更多网络安全 ;深股通 ;云计算 ;物联网 ;白马股 ;数字中国 ;华为概念 ;数字孪生 ;边缘计算,神州数码
"000034,000034,000034,000034,000034,000034,000034,000034",,"神州数码,神州数码,神州数码,神州数码,神州数码,神州数码,神州数码,神州数码"
000639,更多地沟油概念 ;食品安全 ;有机食品 ;阿里巴巴概念 ;商品新零售 ;新零售 ;食用油 ;健康中国 ;保健品 ;白马股 ;深股通,西王食品
"000639,000639,000639",,"西王食品,西王食品,西王食品"
300534,独家医药品种 ;中医药 ;地方国资改革 ;甘肃国资改革,陇神戎发
300534,,陇神戎发
600718,更多IPV6 ;能源互联网 ;核高基 ;振兴东北 ;新能源汽车 ;参股保险 ;马云概念 ;高校 ;去IOE ;汽车电子 ;移动互联网 ;智能医疗 ;电子信息 ;服务外包 ;车联网 ;融资融券 ;智慧停车 ;健康中国 ;智能汽车 ;BIT概念 ;转融券标的 ;医学影像 ;人工智能 ;互联网+ ;国产软件 ;无人驾驶 ;云计算 ;互联网医疗 ;智慧城市 ;工业互联网 ;网络安全 ;区块链 ;边缘计算,东软集团
"600718,600718,600718",,"东软集团,东软集团,东软集团"
002331,更多车联网 ;黄金水道 ;电子信息 ;依法治国概念 ;现代服务业 ;智能交通 ;智慧城市 ;SAAS ;雷达 ;互联网+ ;集成电路概念 ;军工 ;无人驾驶 ;物联网,皖通科技
"002331,002331,002331,002331",,"皖通科技,皖通科技,皖通科技,皖通科技"
603929,更多沪股通 ;富士康概念 ;芯片设备 ;芯片概念 ;白马股 ;OLED ;柔性屏 ;台湾概念股,亚翔集成
"603929,603929",,"亚翔集成,亚翔集成"
600603,物流骨干网 ;涉矿 ;恒大概念 ;年报预增,广汇物流
"600603,600603,600603,600603",,"广汇物流,广汇物流,广汇物流,广汇物流"
600132,更多成渝特区 ;厄尔尼诺概念 ;大消费 ;手足口病疫苗 ;两江新区 ;高温概念 ;重庆自贸区 ;融资融券 ;转融券标的 ;世界杯 ;啤酒概念 ;机构重仓,重庆啤酒
"600132,600132",,"重庆啤酒,重庆啤酒"
600570,更多MSCI概念 ;基金三方销售 ;核高基 ;互联网医疗 ;电子商务 ;蚂蚁金服概念 ;融资融券 ;电子信息 ;马云概念 ;金融科技 ;沪股通 ;转融券标的 ;区块链应用 ;智能金融 ;区块链 ;互联网金融 ;独角兽概念 ;人工智能 ;国产软件,恒生电子
"600570,600570,600570,600570,600570,600570,600570,600570,600570,600570",,"恒生电子,恒生电子,恒生电子,恒生电子,恒生电子,恒生电子,恒生电子,恒生电子,恒生电子,恒生电子"
300094,更多三旧改造 ;海洋经济 ;水产品 ;股权转让 ;饲料 ;商品新零售 ;水域改革 ;新零售 ;电子商务 ;海底捞概念 ;年报预增,国联水产
"300094,300094,300094,300094,300094,300094",,"国联水产,国联水产,国联水产,国联水产,国联水产,国联水产"
000848,更多春节概念 ;蚂蚁金服概念 ;央视财经50 ;大消费 ;融资融券 ;深股通 ;转融券标的 ;饮料,承德露露
600231,更多油页岩 ;振兴东北 ;稀有金属 ;螺纹钢 ;铁矿石 ;沪股通 ;地方国资改革 ;机构重仓,凌钢股份
"600231,600231,600231,600231",,"凌钢股份,凌钢股份,凌钢股份,凌钢股份"
002797,更多融资租赁 ;MSCI概念 ;区块链 ;深股通 ;区块链储备,第一创业
"002797,002797",,"第一创业,第一创业"
002303,更多云印刷 ;互联网平台 ;电子烟 ;深股通 ;工业4.0 ;环保包装 ;电子商务 ;互联网+ ;军民融合 ;台湾概念股,美盈森
002303,,美盈森
002266,更多音乐产业 ;文化传媒 ;一带一路 ;互联网金融 ;小额贷款 ;仪电仪表 ;舟山新区 ;融资融券 ;潮汐发电 ;深股通 ;影视娱乐 ;转融券标的 ;二手车 ;独角兽概念 ;核电,浙富控股
"002266,002266,002266,002266,002266,002266,002266,002266,002266,002266,002266",,"浙富控股,浙富控股,浙富控股,浙富控股,浙富控股,浙富控股,浙富控股,浙富控股,浙富控股,浙富控股,浙富控股"
300360,更多合同能源管理 ;参股360 ;智能表 ;智能电网 ;物联网应用层 ;能源互联网 ;物联网 ;新基建 ;电力物联网 ;边缘计算,炬华科技
"300360,300360,300360,300360",,"炬华科技,炬华科技,炬华科技,炬华科技"
300239,更多能源纸 ;机器人材料 ;鱼蛋白 ;胶原蛋白 ;保健品,东宝生物
"300239,300239,300239,300239,300239",,"东宝生物,东宝生物,东宝生物,东宝生物,东宝生物"
603030,更多智能家居 ;服务机器人 ;机器人概念 ;年报预增 ;长三角一体化,全筑股份
"603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030,603030",,"全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份,全筑股份"
603038,人民币贬值受益 ;成泉资本持股,华立股份
"603038,603038,603038,603038",,"华立股份,华立股份,华立股份,华立股份"
000715,全运会 ;商超百货 ;新零售,中兴商业
"000715,000715,000715,000715",,"中兴商业,中兴商业,中兴商业,中兴商业"
000089,更多春运 ;融资融券 ;深股通 ;大运会 ;转融券标的 ;深圳国资改革 ;广东国资改革 ;地方国资改革 ;养老金持股 ;机构重仓,深圳机场
600315,更多她经济 ;老字号 ;高温概念 ;融资融券 ;转融券标的 ;电子商务 ;沪股通 ;大消费 ;化妆护肤品 ;MSCI预期,上海家化
600315,,上海家化
300284,更多合同能源管理 ;环境监测 ;轨道交通 ;深股通 ;PPP概念 ;雄安新区,苏交科
"300284,300284,300284,300284,300284",,"苏交科,苏交科,苏交科,苏交科,苏交科"
300251,更多参股新三板 ;移动互联网 ;虚拟现实 ;IP概念 ;参股民营银行 ;融资融券 ;文化传媒 ;明星参股概念 ;阿里巴巴概念 ;深股通 ;网络直播 ;转融券标的 ;美团概念股 ;影视娱乐 ;动漫 ;年报预增 ;MSCI预期 ;科创板IPO,光线传媒
"300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251,300251",,"光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒,光线传媒"
601606,新股与次新股 ;军工 ;地方国资改革 ;安徽国资改革,长城军工
002849,更多SAAS ;天然气 ;仪电仪表 ;智能表 ;物联网应用层 ;物联网 ;新基建,威星智能
002849,,威星智能
002206,更多涉矿 ;特斯拉 ;氨纶 ;涤纶 ;养老金持股 ;长三角一体化,海利得
"002206,002206,002206",,"海利得,海利得,海利得"
600970,更多马歇尔计划 ;低碳 ;央企控股 ;融资融券 ;沪股通 ;转融券标的 ;机械装备 ;一带一路 ;节能环保 ;中字头股票 ;中非合作 ;中材系 ;水泥 ;央企国资改革,中材国际
"600970,600970,600970",,"中材国际,中材国际,中材国际"
601339,更多SDR概念 ;棉纱 ;人民币贬值受益 ;东盟自贸区 ;科创板预期,百隆东方
603890,电子信息 ;富士康概念 ;人民币贬值受益,春秋电子
"603890,603890,603890",,"春秋电子,春秋电子,春秋电子"
300551,新版人民币 ;兜底增持,古鳌科技
"300551,300551,300551,300551,300551,300551,300551,300551,300551,300551,300551,300551",,"古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技,古鳌科技"
000898,更多互联网钢铁 ;循环经济 ;MSCI概念 ;螺纹钢 ;铁矿石 ;融资融券 ;深股通 ;冬奥会 ;转融券标的 ;沪伦通预期 ;央企国资改革 ;机构重仓,鞍钢股份
"000898,000898,000898",,"鞍钢股份,鞍钢股份,鞍钢股份"
002838,新材料概念 ;特斯拉 ;高送转,道恩股份
"002838,002838,002838",,"道恩股份,道恩股份,道恩股份"
002442,更多新能源 ;储能 ;绿色轮胎 ;光伏概念 ;明星参股概念 ;京津冀一体化 ;炭素 ;充电桩 ;脱硫脱硝 ;白炭黑 ;股权转让 ;新能源汽车 ;炭黑 ;年报预增 ;煤化工,龙星化工
"002442,002442,002442,002442,002442",,"龙星化工,龙星化工,龙星化工,龙星化工,龙星化工"
601766,更多央企控股 ;雄安交通 ;融资租赁 ;参股保险 ;高铁 ;联通混改 ;PPP概念 ;MSCI概念 ;有轨电车 ;铁路混改 ;融资融券 ;铁路基建 ;沪股通 ;电机电控 ;新能源汽车 ;转融券标的 ;雄安新区 ;轨道交通 ;磁悬浮 ;IGBT ;高端装备 ;一带一路 ;中字头股票 ;央企国资改革 ;证金持股,中国中车
"601766,601766,601766,601766,601766",,"中国中车,中国中车,中国中车,中国中车,中国中车"
600512,PPP概念,腾达建设
"600512,600512,600512,600512,600512,600512,600512",,"腾达建设,腾达建设,腾达建设,腾达建设,腾达建设,腾达建设,腾达建设"
002453,更多多肽药 ;京东概念 ;供应链金融 ;金融科技 ;区块链应用 ;农村金融 ;今日头条概念 ;区块链 ;苹果概念 ;保健品 ;独角兽概念 ;年报预增 ;国产软件,华软科技
"002453,002453,002453,002453,002453,002453",,"华软科技,华软科技,华软科技,华软科技,华软科技,华软科技"
603081,体育产业 ;PPP概念 ;文化传媒,大丰实业
"603081,603081,603081",,"大丰实业,大丰实业,大丰实业"
600839,更多数字电视 ;三网融合 ;OLED ;TMT ;锂电池 ;成渝特区 ;互联网电视 ;参股券商 ;网络电视 ;智能终端 ;融资融券 ;区块链应用 ;转融券标的 ;人工智能 ;智能电视 ;物联网 ;工业互联网 ;军民融合 ;地方国资改革 ;互联网+ ;家用电器 ;区块链 ;军工 ;超清视频 ;证金持股,四川长虹
"600839,600839",,"四川长虹,四川长虹"
002667,高端装备 ;壳资源,鞍重股份
002667,,鞍重股份
600883,壳资源 ;水泥,博闻科技
600883,,博闻科技
000045,更多外贸 ;深圳国资改革 ;广东国资改革 ;地方国资改革 ;OLED材料 ;OLED ;超清视频,深纺织A
"000045,000045",,"深纺织A,深纺织A"
600623,更多绿色轮胎 ;沪股通 ;醋酸 ;地方国资改革 ;甲醇 ;年报预增 ;上海国资改革,华谊集团
"600623,600623,600623,600623",,"华谊集团,华谊集团,华谊集团,华谊集团"
002255,更多余热发电 ;煤化工 ;光伏概念 ;分布式发电 ;低碳 ;核电 ;商誉减值 ;充电桩,海陆重工
"002255,002255,002255,002255,002255",,"海陆重工,海陆重工,海陆重工,海陆重工,海陆重工"
002521,更多造纸转暖 ;胶合板 ;融资融券 ;转融券标的 ;纸浆,齐峰新材
002521,,齐峰新材
600561,更多春运 ;鄱阳湖经济区 ;参股新三板 ;长江经济带 ;地方国资改革 ;通用航空 ;宁德时代概念,江西长运
"600561,600561,600561,600561",,"江西长运,江西长运,江西长运,江西长运"
300432,正极材料 ;锂电池 ;商誉减值,富临精工
"300432,300432,300432,300432,300432,300432,300432",,"富临精工,富临精工,富临精工,富临精工,富临精工,富临精工,富临精工"
600824,新零售 ;地方国资改革 ;上海国资改革,益民集团
600824,,益民集团
002652,更多建筑节能 ;新材料概念 ;雄安新区 ;股权转让 ;养老概念 ;柔性屏,扬子新材
"002652,002652,002652,002652",,"扬子新材,扬子新材,扬子新材,扬子新材"
000679,更多腾讯概念 ;东北亚经贸中心 ;振兴东北 ;大连自贸区 ;象牙加工销售 ;环渤海 ;小额贷款 ;新零售 ;壳资源,大连友谊
"000679,000679,000679",,"大连友谊,大连友谊,大连友谊"
002131,更多小额贷款 ;抗旱 ;水利 ;文化传媒 ;新能源汽车 ;参股保险 ;排水 ;基因测序 ;节水灌溉 ;金改 ;人工智能 ;智能汽车 ;深股通 ;广告营销 ;区块链应用 ;独角兽概念 ;大数据 ;区块链 ;商誉减值,利欧股份
"002131,002131,002131",,"利欧股份,利欧股份,利欧股份"
002554,更多一带一路 ;油气装备 ;油页岩 ;煤层气 ;油气开采 ;天然气 ;地下管网,惠博普
"002554,002554,002554,002554,002554,002554,002554,002554",,"惠博普,惠博普,惠博普,惠博普,惠博普,惠博普,惠博普,惠博普"
300642,更多基因测序 ;抗癌 ;分子诊断 ;白马股 ;体外诊断 ;医疗器械概念,透景生命
"300642,300642,300642,300642",,"透景生命,透景生命,透景生命,透景生命"
600892,更多氟化工 ;文化传媒 ;网络游戏 ;创投 ;影视娱乐,大晟文化
"600892,600892,600892,600892",,"大晟文化,大晟文化,大晟文化,大晟文化"
000589,橡胶 ;国改双百行动 ;贵州国资改革 ;地方国资改革,黔轮胎A
"000589,000589",,"黔轮胎A,黔轮胎A"
000581,更多油品升级 ;节能减排 ;国Ⅳ排放受益 ;废气处理 ;尾气治理 ;MSCI概念 ;PM2.5 ;融资融券 ;深股通 ;转融券标的 ;电机电控 ;江苏国资改革 ;地方国资改革 ;新能源汽车 ;节能环保,威孚高科
600857,徐翔概念股 ;壳资源,宁波中百
300386,更多指纹技术 ;数字货币 ;移动支付 ;区块链 ;虹膜识别 ;区块链底层 ;知识产权保护 ;金融IC ;谷歌概念 ;芯片概念 ;芯片设计 ;网络安全 ;创投 ;互联网金融 ;柔性屏 ;国产软件,飞天诚信
300386,,飞天诚信
600256,更多新疆电源项目 ;新疆振兴 ;油改气 ;新疆发展 ;页岩气 ;LNG动力船 ;油品改革 ;融资融券 ;转融券标的 ;LNG加气站 ;一带一路 ;西气东输 ;煤化工 ;恒大概念 ;甲醇 ;沪股通 ;天然气 ;年报预增 ;MSCI概念 ;证金持股,广汇能源
"600256,600256,600256,600256,600256,600256,600256",,"广汇能源,广汇能源,广汇能源,广汇能源,广汇能源,广汇能源,广汇能源"
603305,沪股通 ;新能源汽车 ;蔚来汽车概念 ;特斯拉,旭升股份
"603305,603305,603305",,"旭升股份,旭升股份,旭升股份"
002394,更多大上海 ;外贸 ;棉纱 ;养老金持股 ;证金持股 ;人民币贬值受益,联发股份
"002394,002394,002394",,"联发股份,联发股份,联发股份"
603518,她经济,维格娜丝
603518,,维格娜丝
000688,更多铅 ;锌 ;涉矿 ;深股通 ;小金属概念 ;机构重仓,国城矿业
"000688,000688",,"国城矿业,国城矿业"
002227,更多无线充电 ;电动汽车 ;低碳 ;充电桩 ;新能源汽车 ;核电 ;新基建 ;科创板预期,奥特迅
"002227,002227,002227,002227",,"奥特迅,奥特迅,奥特迅,奥特迅"
000738,更多大飞机 ;南海 ;航天军工 ;航空发动机 ;预警机 ;军工 ;高端装备 ;融资融券 ;深股通 ;大国重器标的 ;航空航天 ;转融券标的 ;国产航母 ;中航系 ;MSCI预期,航发控制
002755,更多油气装备 ;抗肿瘤 ;生物医药 ;壳资源 ;年报预增,奥赛康
"002755,002755,002755,002755,002755",,"奥赛康,奥赛康,奥赛康,奥赛康,奥赛康"
002372,更多保障房 ;新型城镇化 ;新材料概念 ;排水 ;建筑节能 ;融资融券 ;深股通 ;地下管网 ;转融券标的 ;石墨烯 ;海绵城市 ;MSCI预期 ;PPP概念 ;养老金持股 ;机构重仓,伟星新材
"002372,002372,002372,002372,002372",,"伟星新材,伟星新材,伟星新材,伟星新材,伟星新材"
002605,更多博彩 ;抗癌 ;共享单车 ;智能自行车 ;百度概念 ;互联网彩票 ;迪士尼 ;细胞免疫治疗 ;互联网+ ;创投 ;年报预增 ;独角兽概念,姚记扑克
"002605,002605,002605,002605,002605,002605,002605",,"姚记扑克,姚记扑克,姚记扑克,姚记扑克,姚记扑克,姚记扑克,姚记扑克"
600611,更多公共交通 ;特斯拉 ;迪士尼 ;参股券商 ;融资融券 ;沪股通 ;二手车 ;转融券标的 ;小额贷款 ;网约车,大众交通
"600611,600611,600611,600611,600611,600611,600611",,"大众交通,大众交通,大众交通,大众交通,大众交通,大众交通,大众交通"
002563,更多移动互联网 ;儿童消费品 ;融资融券 ;深股通 ;转融券标的 ;电子商务 ;大消费 ;互联网+ ;MSCI概念,森马服饰
"002563,002563",,"森马服饰,森马服饰"
000753,更多无人岛开发 ;福建基建 ;村镇银行 ;海峡西岸 ;平潭免税区 ;装配式建筑 ;污水处理 ;地方国资改革 ;PPP概念 ;福建自贸区 ;创投 ;郭台铭概念,漳州发展
"000753,000753,000753,000753,000753",,"漳州发展,漳州发展,漳州发展,漳州发展,漳州发展"
000009,更多磷酸铁锂 ;土地流转 ;低碳 ;聚土地概念 ;融资融券 ;深股通 ;转融券标的 ;充电桩 ;生物农药 ;生物医药 ;负极材料 ;新能源汽车 ;锂电池 ;石墨烯 ;创投,中国宝安
"000009,000009,000009,000009,000009,000009",,"中国宝安,中国宝安,中国宝安,中国宝安,中国宝安,中国宝安"
000632,更多平潭免税区 ;无人岛开发 ;海峡西岸 ;福建自贸区 ;郭台铭概念,三木集团
"000632,000632,000632,000632,000632,000632",,"三木集团,三木集团,三木集团,三木集团,三木集团,三木集团"
600577,更多低碳 ;电子商务 ;智能电网 ;沪股通 ;独角兽概念 ;小米概念 ;互联网+ ;互联网金融,精达股份
"600577,600577,600577,600577,600577,600577,600577,600577,600577",,"精达股份,精达股份,精达股份,精达股份,精达股份,精达股份,精达股份,精达股份,精达股份"
002034,更多PPP概念 ;垃圾发电 ;固废处理 ;节能环保 ;深股通,旺能环境
"002034,002034,002034,002034,002034,002034,002034,002034,002034",,"旺能环境,旺能环境,旺能环境,旺能环境,旺能环境,旺能环境,旺能环境,旺能环境,旺能环境"
000035,深股通 ;垃圾发电 ;固废处理 ;节能环保,中国天楹
"000035,000035,000035,000035,000035,000035,000035,000035,000035,000035",,"中国天楹,中国天楹,中国天楹,中国天楹,中国天楹,中国天楹,中国天楹,中国天楹,中国天楹,中国天楹"
002798,参股新三板 ;年报预增,帝欧家居
